id;id_client;prenom_client;nom_client;adresse_client;email;tel_client
1;40097;calculate;Lettonie;Fresh Handcrafted Loire;"0rt@v6qztrzkpjry";"4"
2;58952;a Aquitaine iterate;online Account global;Account superstructure a;"Lxr5W@BLFtf";"+686112"
3;36390;connect Ergonomic;Music paradigms;b;"7Q0@snte0uKihuo";"+99127"
4;73059;Borders;neural a Avon;Small;"c7bgw@kre:jx";"3512"
5;74187;back-end Cambridgeshire Cotton;wireless COM Licensed;Superviseur Account b;"M@g#rmyxm";"936"
6;5535;IB array technologies;expedite Bedfordshire Coordinateur;gold Kazakhstan;"0@6vuk";"+3118620"
7;77003;1080p Producteur Helena;Soft Intelligent;payment Ergonomic FTP;"KUHKR@HWrok";"+1866 15"
8;60046;next;Grocery;SMS;"SBFFE@0qjMmst";"+22676"
9;46048;Mille morph;Berkshire;c;"Mwo@2/qam";"958966"
10;70113;b Computers;interface Manager;Uruguay;"5rZbHr@Nryy";"625364"
